"model","term","estimate","std.error","statistic","p.value"
"m1","(Intercept)",2.289,0.208,11.019,0
"m1","CPUE",0.438,0.071,6.157,0
"m2","(Intercept)",7.077,0.945,7.486,0
"m2","CPUE",0.507,0.05,10.176,0
"m2","ISTI",-0.546,0.107,-5.121,0
"m3","(Intercept)",5.371,0.536,10.014,0
"m3","CPUE",0.519,0.046,11.271,0
"m3","SST_May",-0.453,0.077,-5.918,0
