"model","terms","AdjR2","AICc","MAPE","MEAPE","MASE"
"m1","CPUE",0.627,30,0.116,0.105,0.399
"m3","CPUE+ISTI",0.83,14,0.074,0.06,0.249
"m3","CPUE + SST_May",0.857,10,0.065,0.048,0.222
