"Year","fitted_values","year_minus","type","model_name"
1998,33.74,0,"estimate","m11"
1999,126.01,0,"estimate","m11"
2000,29.21,0,"estimate","m11"
2001,62.62,0,"estimate","m11"
2002,53.14,0,"estimate","m11"
2003,56.73,0,"estimate","m11"
2004,40.61,0,"estimate","m11"
2005,52,0,"estimate","m11"
2006,17.96,0,"estimate","m11"
2007,40.92,0,"estimate","m11"
2008,22.14,0,"estimate","m11"
2009,41.66,0,"estimate","m11"
2010,31.83,0,"estimate","m11"
2011,60.5,0,"estimate","m11"
2012,22.46,0,"estimate","m11"
2013,63.68,0,"estimate","m11"
2014,39.11,0,"estimate","m11"
2015,44.74,0,"estimate","m11"
2016,17.73,0,"estimate","m11"
2017,42.41,0,"estimate","m11"
2018,10.81,0,"estimate","m11"
2019,17.17,0,"estimate","m11"
2020,11.86,0,"estimate","m11"
2021,20.06,0,"estimate","m11"
2022,16.51,0,"estimate","m11"
