"Year","fitted_values","year_minus","type","model_name"
1998,30.69,10,"estimate","m11"
1999,121.69,10,"estimate","m11"
2000,26.7,10,"estimate","m11"
2001,58.87,10,"estimate","m11"
2002,50.09,10,"estimate","m11"
2003,53.92,10,"estimate","m11"
2004,37.13,10,"estimate","m11"
2005,47.85,10,"estimate","m11"
2006,15.52,10,"estimate","m11"
2007,37.84,10,"estimate","m11"
2008,19.89,10,"estimate","m11"
2009,38.81,10,"estimate","m11"
2010,28.89,10,"estimate","m11"
2011,56.23,10,"estimate","m11"
2012,20.06,10,"estimate","m11"
