"Year","fitted_values","year_minus","type","model_name"
1998,26.83,2,"estimate","m2"
1999,120.78,2,"estimate","m2"
2000,25.63,2,"estimate","m2"
2001,66.28,2,"estimate","m2"
2002,37.43,2,"estimate","m2"
2003,56.43,2,"estimate","m2"
2004,35.59,2,"estimate","m2"
2005,52.9,2,"estimate","m2"
2006,12.88,2,"estimate","m2"
2007,37.67,2,"estimate","m2"
2008,16.79,2,"estimate","m2"
2009,52.53,2,"estimate","m2"
2010,23.8,2,"estimate","m2"
2011,58.12,2,"estimate","m2"
2012,23.27,2,"estimate","m2"
2013,70.15,2,"estimate","m2"
2014,28.86,2,"estimate","m2"
2015,56.6,2,"estimate","m2"
2016,22.02,2,"estimate","m2"
2017,41.12,2,"estimate","m2"
2018,13.7,2,"estimate","m2"
2019,16.89,2,"estimate","m2"
2020,9.66,2,"estimate","m2"
