"Year","fitted_values","year_minus","type","model_name"
1998,35.79,8,"estimate","m1"
1999,134.16,8,"estimate","m1"
2000,24.71,8,"estimate","m1"
2001,60.56,8,"estimate","m1"
2002,42.17,8,"estimate","m1"
2003,40.6,8,"estimate","m1"
2004,46.07,8,"estimate","m1"
2005,65.05,8,"estimate","m1"
2006,29.74,8,"estimate","m1"
2007,37.33,8,"estimate","m1"
2008,20.62,8,"estimate","m1"
2009,33.46,8,"estimate","m1"
2010,33.6,8,"estimate","m1"
2011,71.06,8,"estimate","m1"
2012,23.79,8,"estimate","m1"
2013,55.44,8,"estimate","m1"
2014,31.02,8,"estimate","m1"
