"Year","fitted_values","year_minus","type","model_name"
1998,35.22,7,"estimate","m1"
1999,122.74,7,"estimate","m1"
2000,24.82,7,"estimate","m1"
2001,57.89,7,"estimate","m1"
2002,41.13,7,"estimate","m1"
2003,39.68,7,"estimate","m1"
2004,44.71,7,"estimate","m1"
2005,61.94,7,"estimate","m1"
2006,29.57,7,"estimate","m1"
2007,36.65,7,"estimate","m1"
2008,20.92,7,"estimate","m1"
2009,33.05,7,"estimate","m1"
2010,33.18,7,"estimate","m1"
2011,67.34,7,"estimate","m1"
2012,23.95,7,"estimate","m1"
2013,53.26,7,"estimate","m1"
2014,30.77,7,"estimate","m1"
2015,59.53,7,"estimate","m1"
