"Year","fitted_values","year_minus","type","model_name"
1998,29.31,8,"estimate","m2"
1999,121.33,8,"estimate","m2"
2000,27.31,8,"estimate","m2"
2001,67.33,8,"estimate","m2"
2002,39.71,8,"estimate","m2"
2003,56.6,8,"estimate","m2"
2004,38.29,8,"estimate","m2"
2005,55.66,8,"estimate","m2"
2006,15.23,8,"estimate","m2"
2007,39.53,8,"estimate","m2"
2008,18.61,8,"estimate","m2"
2009,52.33,8,"estimate","m2"
2010,26.26,8,"estimate","m2"
2011,60.85,8,"estimate","m2"
2012,25.02,8,"estimate","m2"
2013,70.21,8,"estimate","m2"
2014,30.86,8,"estimate","m2"
