"Year","fitted_values","year_minus","type","model_name"
1998,31.97,3,"estimate","m11"
1999,123.82,3,"estimate","m11"
2000,28.12,3,"estimate","m11"
2001,60.85,3,"estimate","m11"
2002,52.31,3,"estimate","m11"
2003,56.46,3,"estimate","m11"
2004,38.45,3,"estimate","m11"
2005,49.16,3,"estimate","m11"
2006,16.08,3,"estimate","m11"
2007,39.5,3,"estimate","m11"
2008,20.97,3,"estimate","m11"
2009,40.69,3,"estimate","m11"
2010,30.12,3,"estimate","m11"
2011,57.74,3,"estimate","m11"
2012,21.05,3,"estimate","m11"
2013,62.49,3,"estimate","m11"
2014,38.18,3,"estimate","m11"
2015,41.72,3,"estimate","m11"
2016,15.61,3,"estimate","m11"
2017,38.51,3,"estimate","m11"
2018,9.71,3,"estimate","m11"
2019,15.79,3,"estimate","m11"
