"year","ISTI3_MJJ","ISTI10_MJJ","ISTI15_MJJ","ISTI20_MJJ"
1997,10.83,10.28,9.77,9.26
1998,10.82,10.31,9.84,9.44
1999,9.62,9.33,8.92,8.56
2000,10.4,9.78,9.21,8.76
2001,10.43,9.89,9.43,9.03
2002,9.5,9.02,8.57,8.2
2003,10.62,10.12,9.7,9.35
2004,11.4,10.52,9.8,9.27
2005,11.97,11.32,10.69,10.2
2006,10.04,9.55,9.11,8.77
2007,10.99,10.18,9.5,8.95
2008,9.35,8.76,8.28,7.92
2009,11.25,10.57,9.91,9.38
2010,10.98,10.39,9.83,9.4
2011,10.16,9.65,9.12,8.67
2012,10.51,9.69,8.98,8.51
2013,10.79,10,9.36,8.87
2014,10.9,10.17,9.55,9.09
2015,11.14,10.54,10.05,9.65
2016,11.52,11.08,10.67,10.3
2017,9.79,9.25,8.86,8.56
2018,10.3,9.76,9.3,8.92
2019,11.64,10.93,10.35,9.91
2020,10.15,9.68,9.25,8.89
