Year,Observed,Ricker,Sibling,Juvenile
2000,52842,,85133,
2001,85663,,76073,
2002,81487,,95778,
2003,149979,,101681,
2004,117247,,116166,
2005,123612,,91855,
2006,119485,,88516,
2007,87899,95195,97646,95737
2008,62610,92422,73080,78937
2009,87221,90675,68727,60983
2010,59741,94850,72275,59483
2011,71726,93631,69252,
2012,48494,93020,60679,
2013,37177,91152,56914,53211
2014,64886,91514,52525,59430
2015,87323,91696,66268,65670
2016,82765,91855,75494,78658
2017,93188,92002,82007,103307
2018,76356,87682,69205,89171
2019,72620,89495,72013,82395
2020,45501,89406,67344,69007
2021,,89248,55382,52294
2022,,,,46433
