year,ISTI20_MJJ
1997,9.28
1998,9.40
1999,8.56
2000,8.77
2001,9.03
2002,8.20
2003,9.31
2004,9.33
2005,10.21
2006,8.75
2007,8.94
2008,7.91
2009,9.36
2010,9.35
2011,8.65
2012,8.48
2013,8.83
2014,9.12
2015,9.61
2016,10.20
2017,8.56
2018,8.92
2019,9.91
2020,8.89
2021,8.89
2022,9.05
