year,data,NSE_inside,NSE_outside,SSE,total,,
1960,escapement,1041488,137682,658279,1837449,,
1961,escapement,2057192,350035,1220726,3627953,,
1962,escapement,1444800,133852,2911100,4489752,,
1963,escapement,2921646,819802,2495654,6237102,,
1964,escapement,1694772,131521,2896402,4722695,,
1965,escapement,1761186,379315,2315670,4456171,,
1966,escapement,2324477,52014,3402145,5778636,,
1967,escapement,949091,200029,1477645,2626765,,
1968,escapement,2535942,20758,2986678,5543378,,
1969,escapement,1425760,420888,1716981,3563629,,
1970,escapement,2055826,58106,2571302,4685234,,
1971,escapement,2256122,229570,2899967,5385659,,
1972,escapement,2196269,122523,2450381,4769173,,
1973,escapement,1423047,356643,2419219,4198909,,
1974,escapement,1286365,188159,2249397,3723921,,
1975,escapement,594606,504339,3263541,4362486,,
1976,escapement,709273,261142,3394682,4365097,,
1977,escapement,1633547,1708287,5039803,8381637,,
1978,escapement,1878176,317870,4215344,6411390,,
1979,escapement,2615346,1624079,3434382,7673807,,
1980,escapement,1629480,212090,4839214,6680784,,
1981,escapement,1778972,1470410,4681147,7930529,,
1982,escapement,2477501,612388,4037919,7127808,,
1983,escapement,2122857,1235711,6523245,9881813,,
1984,escapement,2184195,849223,7674742,10708160,,
1985,escapement,4349419,1760648,9954782,16064849,,
1986,escapement,1804955,331097,11424464,13560516,,
1987,escapement,2790977,422034,4509465,7722476,,
1988,escapement,1880884,166995,3270465,5318344,,
1989,escapement,2948422,441329,7332053,10721804,,
1990,escapement,2812550,298360,5140557,8251467,,
1991,escapement,3675083,721632,5630547,10027262,,
1992,escapement,3880149,526071,5485679,9891899,,
1993,escapement,3754576,428555,6472493,10655624,,
1994,escapement,6445916,1320109,5267024,13033049,,
1995,escapement,3170054,1351939,7786120,12308113,,
1996,escapement,4692059,1551211,11900109,18143379,,
1997,escapement,5906373,2875926,5970976,14753275,,
1998,escapement,4911688,2438994,6952017,14302699,,
1999,escapement,10037649,6004171,11275844,27317664,,
2000,escapement,3825080,1533113,5402377,10760570,,
2001,escapement,5271430,2372864,10986279,18630573,,
2002,escapement,5472610,2296681,8845232,16614523,,
2003,escapement,6681909,3505610,9777369,19964888,,
