"Year","ISTI20_MJJ"
1998,9.275319676
1999,9.397513333
2000,8.55974875
2001,8.770015222
2002,9.025532733
2003,8.199539167
2004,9.307691013
2005,9.333084187
2006,10.20637217
2007,8.75081725
2008,8.936006202
2009,7.911831676
2010,9.356666667
2011,9.353333333
2012,8.653333333
2013,8.476666667
2014,8.834666667
2015,9.12
2016,9.606666667
2017,10.1985
2018,8.560532917
2019,8.924952083
2020,9.91121125
2021,8.888253542
2022,8.885509921
2023,9.05
2024,9.05
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
