"","Fit","LPI","UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","MAPE","MEAPE"
"CPUE",3.26864400044985,2.71300336455266,3.82428463634704,0.0902461062894143,21,0.410113716313764,0.655200696353301,0.638781681893934,28.1780647883297,29.4412226830666,31.5845474361172,0.110702317201561,0.0902803440709064
"CPUE+ISTI",3.35172491482531,2.95793497774279,3.74551485190782,0.0661467852598394,20,0.289667062903188,0.836180074744879,0.819798082219367,13.0615864266762,15.2838086488984,17.6035632903928,0.076750424988352,0.0595045409668046
