"year","SEAKCatch_log","resid","hat_values","Cooks_distance","std_resid","fitted"
1998,3.75,0.421,0.048,0.037,1.484,3.329
1999,4.354,-0.504,0.345,0.807,-2.143,4.858
2000,3.011,-0.218,0.098,0.023,-0.791,3.229
2001,4.205,-0.041,0.121,0.001,-0.15,4.246
2002,3.813,0.16,0.048,0.005,0.564,3.653
2003,3.961,-0.078,0.167,0.006,-0.293,4.039
2004,3.813,0.217,0.058,0.012,0.768,3.597
2005,4.079,0.01,0.102,0,0.037,4.069
2006,2.451,-0.16,0.245,0.044,-0.634,2.611
2007,3.802,0.171,0.059,0.008,0.608,3.631
2008,2.766,-0.035,0.104,0.001,-0.127,2.801
2009,3.638,-0.311,0.232,0.15,-1.22,3.948
2010,3.178,0.112,0.066,0.004,0.399,3.066
2011,4.076,0.183,0.089,0.014,0.66,3.893
2012,3.059,0.039,0.104,0.001,0.143,3.019
2013,4.551,0.588,0.083,0.135,2.111,3.963
2014,3.616,0.375,0.059,0.037,1.328,3.242
2015,3.558,-0.354,0.07,0.04,-1.262,3.912
2016,2.912,-0.072,0.097,0.002,-0.26,2.984
2017,3.547,0.006,0.256,0,0.025,3.54
2018,2.092,-0.462,0.214,0.291,-1.793,2.554
2019,3.049,0.2,0.099,0.019,0.724,2.849
2020,2.075,-0.247,0.236,0.098,-0.974,2.323
