"model","term","estimate","std.error","statistic","p.value"
"m1","(Intercept)",2.28,0.204,11.169,0
"m1","CPUE",0.46,0.073,6.317,0
"m2","(Intercept)",6.793,0.971,6.997,0
"m2","CPUE",0.521,0.053,9.814,0
"m2","ISTI",-0.513,0.109,-4.701,0
"m3","(Intercept)",4.001,2.565,1.56,0.135
"m3","CPUE",1.664,0.976,1.706,0.104
"m3","ISTI",-0.208,0.281,-0.739,0.469
" m3","CPUE:ISTI",-0.124,0.106,-1.174,0.255
