year,ISTI20_MJJ
1997,9.275319676
1998,9.397513333
1999,8.55974875
2000,8.770015222
2001,9.025532733
2002,8.199539167
2003,9.307691013
2004,9.333084187
2005,10.20637217
2006,8.75081725
2007,8.936006202
2008,7.911831676
2009,9.356666667
2010,9.353333333
2011,8.653333333
2012,8.476666667
2013,8.834666667
2014,9.12
2015,9.606666667
2016,10.1985
2017,8.560532917
2018,8.924952083
2019,9.91121125
2020,8.888253542
2021,8.885509921
