year,ISTI_MJJ,ISTI_May
1997,9.259388125,7.233409375
1998,9.443051771,7.376033125
1999,8.55974875,6.3923575
2000,8.755733229,6.46637
2001,9.027826496,6.781619375
2002,8.197730295,6.3908575
2003,9.349481875,7.4249525
2004,9.268800677,7.380294375
2005,10.20316094,8.3192825
2006,8.771492917,6.765635
2007,8.950851771,7.05040875
2008,7.924594722,6.221469375
2009,9.378418351,7.91885875
2010,9.395296111,8.49389
2011,8.669406424,6.5098525
2012,8.505834358,6.63358375
2013,8.865461372,6.554726875
2014,9.093034323,7.659580625
2015,9.645331998,7.625129375
2016,10.29717619,8.675158571
2017,8.559985625,7.69159875
2018,8.924952083,7.913895
2019,9.91121125,7.922913125
2020,8.888253542,7.467538125
