"","Fit","LPI","UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","MAPE","MEAPE"
"CPUE",3.26519075600788,2.7112900865193,3.81909142549647,0.0900667404927194,21,0.40880673067339,0.65853287658526,0.642272537375034,28.031233943588,29.2943918383248,31.4377165913754,0.109745741495996,0.0883846846108522
"CPUE+ISTI",3.34688216079194,2.94437428686577,3.7493900347181,0.0677296307174145,20,0.296052796721217,0.829446020130032,0.812390622143035,14.064644082724,16.2868663049462,18.6066209464406,0.0788825821804656,0.0594868957786605
"CPUE+ISTI_log",3.33811562158465,2.92861473824901,3.74761650492029,0.0684921114671602,20,0.301290763805127,0.823357517848074,0.805693269632882,14.8713914141747,17.0936136363969,19.4133682778913,0.0815868458534576,0.0610931688978453
