"model","term","estimate","std.error","statistic","p.value"
"m1","(Intercept)",2.27,0.204,11.127,0
"m1","CPUE",0.463,0.073,6.364,0
"m2","(Intercept)",6.656,0.991,6.718,0
"m2","CPUE",0.518,0.054,9.575,0
"m2","ISTI",-0.498,0.111,-4.477,0
"m3","(Intercept)",11.971,2.251,5.319,0
"m3","CPUE",0.518,0.055,9.393,0
"m3","ISTI_log",-4.46,1.032,-4.32,0
"m4","(Intercept)",4.147,2.678,1.548,0.138
"m4","CPUE",1.532,1.007,1.522,0.144
"m4","ISTI",-0.223,0.294,-0.761,0.456
"m4","CPUE:ISTI",-0.11,0.109,-1.009,0.326
"m5","(Intercept)",6.009,6.086,0.987,0.336
"m5","CPUE",2.923,2.284,1.28,0.216
"m5","ISTI_log",-1.766,2.756,-0.641,0.529
"m5","CPUE:ISTI_log",-1.084,1.029,-1.054,0.305
