"model","AdjR2","AICc","MAPE","MEAPE","MASE"
"CPUE",0.642,29,0.11,0.088,0.375
"CPUE+ISTI",0.812,16,0.079,0.059,0.262
"CPUE+ISTI_log",0.806,17,0.082,0.061,0.269
