"JYear","SEAKCatch","CPUEcal","ISTI","ISTI_May","Pink_Peak","index","SST_MJJ","SST_May"
1997,42.5,2.477744394,9.259388125,7.233409375,7,"pink_cal_pool",10.4366666666667,7.1425
1998,77.8,5.622379984,9.489001146,7.376033125,6,"pink_cal_pool",10.0675,7.3525
1999,20.3,1.597723341,8.55974875,6.3923575,7,"pink_cal_pool",9.18083333333333,6.13
2000,67,3.729984668,8.755733229,6.46637,7,"pink_cal_pool",10.0441666666667,7.0925
2001,45.3,2.868826043,9.027826496,6.781619375,7,"pink_cal_pool",9.64666666666667,6.4875
2002,52.5,2.784664064,8.197730295,6.3908575,7,"pink_cal_pool",9.4125,6.325
2003,45.3,3.077820362,9.349481875,7.4249525,7,"pink_cal_pool",10.1666666666667,7.415
2004,59.1,3.89940674,9.268800677,7.380294375,6,"pink_cal_pool",10.8391666666667,7.71
2005,11.6,2.040345363,10.20316094,8.3192825,6,"pink_cal_pool",11.3225,8.5925
2006,44.8,2.572780687,8.771492917,6.765635,6,"pink_cal_pool",10.2825,6.88
2007,15.9,1.167638593,8.950851771,7.05040875,7,"pink_cal_pool",9.59166666666667,6.5975
2008,38,2.323473052,7.924594722,6.221469375,7,"pink_cal_pool",8.9,6.44
2009,24,2.333003071,9.378418351,7.91885875,7,"pink_cal_pool",10.1141666666667,7.3475
2010,58.9,4.10831806,9.395296111,8.49389,7,"pink_cal_pool",9.99333333333333,7.82
2011,21.3,1.454838125,8.669406424,6.5098525,7,"pink_cal_pool",9.925,6.8625
2012,94.7,3.521505182,8.725248086,6.63358375,7,"pink_cal_pool",9.29666666666667,6.965
2013,37.2,2.142767709,8.865461372,6.554726875,7,"pink_cal_pool",10.0225,6.4925
2014,35.1,3.817373297,9.093034323,7.659580625,7,"pink_cal_pool",10.3291666666667,8.01
2015,18.4,2.452646547,9.645331998,7.625129375,6,"pink_cal_pool",10.8166666666667,8.44
2016,34.7,4.351092515,10.29717619,8.675158571,6,"pink_cal_pool",11.7658333333333,8.92
2017,8.1,0.34583664,8.559985625,7.69159875,7,"pink_cal_pool",9.92166666666667,7.3425
2018,21.1,1.17155842,8.924952083,7.913895,7,"pink_cal_pool",10.1591666666667,7.0275
2019,8.067943,1.141970892,9.91121125,7.922913125,7,"pink_cal_pool",10.9225,7.9225
2020,NA,2.147502256,8.888254,7.467538125,7,"pink_cal_pool",10.6291666666667,8.085
