"Terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","AICc","MAPE5"
"Chatham_SST_AMJ","m5a",69.5,45.5,106.2,0.77,21.8,22.881
"Chatham_SST_AMJJ","m6a",70.1,44.2,111.2,0.73,26.6,28.208
"Chatham_SST_May","m3a",74.7,49,113.8,0.78,21,25.439
"Chatham_SST_MJJ","m4a",69.3,42.3,113.5,0.69,30.2,31.219
"Icy_Strait_SST_AMJ","m9a",80.5,51.8,124.9,0.76,22.6,23.332
"Icy_Strait_SST_AMJJ","m10a",79.6,49.4,128.2,0.73,26.9,25.967
"Icy_Strait_SST_May","m7a",80.6,52.2,124.4,0.77,21.9,26.258
"Icy_Strait_SST_MJJ","m8a",75.5,45.8,124.5,0.7,29.9,28.657
"ISTI20_JJ","m2a",65.5,40,107.2,0.69,30.7,20.502
"no temperature index included","m1a",56.8,33.1,97.4,0.62,34.9,28.749
"NSEAK_SST_AMJ","m13a",66.7,43.5,102.3,0.76,22.6,24.755
"NSEAK_SST_AMJJ","m14a",67.7,42.6,107.6,0.73,27,29.403
"NSEAK_SST_May","m11a",69.2,45.4,105.4,0.77,21.5,25.774
"NSEAK_SST_MJJ","m12a",65.5,40.4,106.4,0.7,29.8,31.772
"SEAK_SST_AMJ","m17a",57.2,37,88.6,0.75,24.4,27.076
"SEAK_SST_AMJJ","m18a",59,37,93.8,0.72,27.9,31.358
"SEAK_SST_May","m15a",60.6,39.4,93.1,0.76,23.4,26.837
"SEAK_SST_MJJ","m16a",58.1,35.8,94.1,0.69,30.3,33.636
