"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1","(Intercept)",1.3,0.968,1.342,0.194
"m1","as.factor(odd_even_factor)odd",0.348,0.231,1.506,0.148
"m1","as.factor(vessel)Medeia",2.566,1.672,1.535,0.14
"m1","as.factor(vessel)NW Explorer",-0.115,1.066,-0.108,0.915
"m1","adj_raw_pink_log",0.382,0.179,2.136,0.045
"m1","as.factor(vessel)Medeia:adj_raw_pink_log",-0.596,0.342,-1.739,0.097
"m1","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.089,0.176,-0.505,0.619
"m2","(Intercept)",4.339,1.735,2.5,0.022
"m2","as.factor(odd_even_factor)odd",0.215,0.224,0.961,0.349
"m2","as.factor(vessel)Medeia",2.633,1.553,1.696,0.106
"m2","as.factor(vessel)NW Explorer",-0.356,0.997,-0.358,0.725
"m2","ISTI20_JJ",-0.328,0.16,-2.048,0.055
"m2","adj_raw_pink_log",0.44,0.169,2.611,0.017
"m2","as.factor(vessel)Medeia:adj_raw_pink_log",-0.605,0.318,-1.901,0.073
"m2","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.072,0.163,-0.444,0.662
"m3","(Intercept)",3.411,1.227,2.781,0.012
"m3","as.factor(odd_even_factor)odd",0.359,0.207,1.733,0.099
"m3","as.factor(vessel)Medeia",2.512,1.498,1.677,0.11
"m3","as.factor(vessel)NW Explorer",0.061,0.957,0.064,0.95
"m3","Chatham_SST_May",-0.31,0.127,-2.434,0.025
"m3","adj_raw_pink_log",0.411,0.161,2.559,0.019
"m3","as.factor(vessel)Medeia:adj_raw_pink_log",-0.553,0.307,-1.8,0.088
"m3","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.098,0.157,-0.626,0.539
"m4","(Intercept)",3.96,1.7,2.329,0.031
"m4","as.factor(odd_even_factor)odd",0.335,0.218,1.535,0.141
"m4","as.factor(vessel)Medeia",2.617,1.578,1.658,0.114
"m4","as.factor(vessel)NW Explorer",0.083,1.012,0.082,0.935
"m4","Chatham_SST_MJJ",-0.294,0.158,-1.856,0.079
"m4","adj_raw_pink_log",0.418,0.17,2.459,0.024
"m4","as.factor(vessel)Medeia:adj_raw_pink_log",-0.581,0.323,-1.797,0.088
"m4","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.116,0.166,-0.694,0.496
"m5","(Intercept)",4.078,1.37,2.977,0.008
"m5","as.factor(odd_even_factor)odd",0.343,0.204,1.683,0.109
"m5","as.factor(vessel)Medeia",2.383,1.476,1.615,0.123
"m5","as.factor(vessel)NW Explorer",0.123,0.944,0.13,0.898
"m5","Chatham_SST_AMJ",-0.396,0.153,-2.594,0.018
"m5","adj_raw_pink_log",0.419,0.158,2.645,0.016
"m5","as.factor(vessel)Medeia:adj_raw_pink_log",-0.523,0.303,-1.725,0.101
"m5","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.109,0.155,-0.704,0.49
"m6","(Intercept)",4.259,1.575,2.705,0.014
"m6","as.factor(odd_even_factor)odd",0.33,0.211,1.569,0.133
"m6","as.factor(vessel)Medeia",2.533,1.522,1.664,0.112
"m6","as.factor(vessel)NW Explorer",0.151,0.977,0.154,0.879
"m6","Chatham_SST_AMJJ",-0.372,0.164,-2.268,0.035
"m6","adj_raw_pink_log",0.429,0.164,2.616,0.017
"m6","as.factor(vessel)Medeia:adj_raw_pink_log",-0.555,0.312,-1.778,0.091
"m6","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.125,0.161,-0.775,0.448
"m7","(Intercept)",3.229,1.195,2.702,0.014
"m7","as.factor(odd_even_factor)odd",0.391,0.209,1.867,0.077
"m7","as.factor(vessel)Medeia",2.442,1.509,1.619,0.122
"m7","as.factor(vessel)NW Explorer",-0.045,0.962,-0.047,0.963
"m7","Icy_Strait_SST_May",-0.296,0.125,-2.364,0.029
"m7","adj_raw_pink_log",0.403,0.162,2.493,0.022
"m7","as.factor(vessel)Medeia:adj_raw_pink_log",-0.542,0.31,-1.75,0.096
"m7","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.081,0.158,-0.512,0.614
"m8","(Intercept)",3.704,1.578,2.347,0.03
"m8","as.factor(odd_even_factor)odd",0.368,0.218,1.687,0.108
