"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1998,42.45,0.41,0.09,0.05,1.39,29.5
1999,77.82,-0.26,0.29,0.1,-0.98,105.54
2000,20.25,-0.25,0.11,0.02,-0.84,27.17
2001,67.02,0.07,0.09,0,0.24,65.55
2002,45.32,0.17,0.15,0.02,0.6,40.03
2003,52.47,-0.21,0.19,0.03,-0.76,68.12
2004,45.31,0.37,0.12,0.06,1.28,32.82
2005,59.12,0.07,0.1,0,0.23,57.95
2006,11.61,-0.36,0.13,0.06,-1.23,17.4
2007,44.8,0.04,0.09,0,0.12,45.37
2008,15.91,-0.31,0.11,0.03,-1.06,22.73
2009,38.02,-0.33,0.17,0.07,-1.17,55.43
2010,24.14,-0.18,0.09,0.01,-0.61,30.3
2011,58.88,-0.04,0.11,0,-0.12,63.99
2012,21.28,0.07,0.07,0,0.24,20.75
2013,94.72,0.36,0.11,0.05,1.22,69.65
2014,37.17,0.23,0.11,0.02,0.77,31.09
2015,35.09,-0.49,0.09,0.07,-1.67,60.37
2016,18.37,0.15,0.22,0.02,0.54,16.64
2017,34.73,-0.06,0.35,0.01,-0.25,38.83
2018,8.07,-0.38,0.14,0.08,-1.34,12.41
2019,21.14,-0.14,0.2,0.02,-0.5,25.47
2020,8.06,-0.35,0.18,0.08,-1.23,11.94
2021,48.53,0.52,0.12,0.11,1.77,30.42
2022,18.3,0.21,0.1,0.01,0.7,15.61
2023,48.45,0.65,0.17,0.26,2.29,26.58
2024,20.12,0.09,0.08,0,0.3,19.32
2025,21.26,-0.16,0.16,0.02,-0.57,26.24
2026,21,0.12,0.07,0,0.41,19.49
