"Terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","AICc","MAPE5"
"Chatham_SST_AMJ","m5",29,12.7,66.2,0.69,42.1,55.4
"Chatham_SST_AMJJ","m6",28.9,12.3,68.2,0.66,43.8,59.5
"Chatham_SST_May","m3",28.1,12.2,65,0.67,42.9,51.6
"Chatham_SST_MJJ","m4",26.7,11,64.8,0.64,45.7,65
"Icy_Strait_SST_AMJ","m9",32.8,13.9,77.2,0.68,42.6,55.6
"Icy_Strait_SST_AMJJ","m10",32.1,13.3,77.9,0.66,44.1,59.2
"Icy_Strait_SST_May","m7",29.5,12.6,69.2,0.67,43.3,50.3
"Icy_Strait_SST_MJJ","m8",29.1,11.8,71.6,0.64,45.7,64.7
"ISTI20_JJ","m2",22.9,9.8,53.6,0.65,44.8,48.1
"no temperature index included","m1",19.9,8,49.3,0.59,45.6,67.1
"NSEAK_SST_AMJ","m13",30.5,13.3,70.2,0.69,42,53.2
"NSEAK_SST_AMJJ","m14",30.7,12.9,72.8,0.67,43.6,56.7
"NSEAK_SST_May","m11",28.9,12.5,66.9,0.68,42.8,50.9
"NSEAK_SST_MJJ","m12",28.1,11.6,68,0.65,45.2,62.1
"SEAK_SST_AMJ","m17",26.5,11.6,60.3,0.68,42.5,57.7
"SEAK_SST_AMJJ","m18",27,11.6,62.9,0.67,43.6,59.2
"SEAK_SST_May","m15",25,10.9,57.3,0.67,43.3,54.5
"SEAK_SST_MJJ","m16",24.9,10.5,59,0.65,45,63
