"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1a","(Intercept)",2.498,0.163,15.29,0
"m1a","CPUE",0.303,0.072,4.193,0
"m1a","as.factor(odd_even_factor)odd",0.398,0.175,2.275,0.031
"m2a","(Intercept)",6.053,1.353,4.475,0
"m2a","CPUE",0.396,0.074,5.348,0
"m2a","as.factor(odd_even_factor)odd",0.192,0.176,1.093,0.285
"m2a","ISTI20_JJ",-0.37,0.14,-2.644,0.014
"m3a","(Intercept)",5.531,0.695,7.959,0
"m3a","CPUE",0.362,0.057,6.382,0
"m3a","as.factor(odd_even_factor)odd",0.355,0.134,2.649,0.014
"m3a","Chatham_SST_May",-0.418,0.094,-4.436,0
"m4a","(Intercept)",5.844,1.222,4.782,0
"m4a","CPUE",0.334,0.066,5.093,0
"m4a","as.factor(odd_even_factor)odd",0.344,0.158,2.184,0.039
"m4a","Chatham_SST_MJJ",-0.346,0.126,-2.757,0.011
"m5a","(Intercept)",6.13,0.854,7.178,0
"m5a","CPUE",0.359,0.057,6.255,0
"m5a","as.factor(odd_even_factor)odd",0.33,0.136,2.423,0.023
"m5a","Chatham_SST_AMJ",-0.487,0.113,-4.3,0
"m6a","(Intercept)",6.226,1.09,5.71,0
"m6a","CPUE",0.345,0.062,5.568,0
"m6a","as.factor(odd_even_factor)odd",0.333,0.148,2.243,0.034
"m6a","Chatham_SST_AMJJ",-0.435,0.126,-3.446,0.002
"m7a","(Intercept)",5.224,0.649,8.054,0
"m7a","CPUE",0.369,0.058,6.355,0
"m7a","as.factor(odd_even_factor)odd",0.382,0.136,2.816,0.009
"m7a","Icy_Strait_SST_May",-0.4,0.093,-4.285,0
"m8a","(Intercept)",5.578,1.105,5.046,0
"m8a","CPUE",0.341,0.066,5.191,0
"m8a","as.factor(odd_even_factor)odd",0.36,0.156,2.306,0.03
"m8a","Icy_Strait_SST_MJJ",-0.315,0.112,-2.81,0.009
"m9a","(Intercept)",5.881,0.823,7.144,0
"m9a","CPUE",0.361,0.058,6.176,0
"m9a","as.factor(odd_even_factor)odd",0.386,0.137,2.813,0.009
"m9a","Icy_Strait_SST_AMJ",-0.471,0.113,-4.16,0
"m10a","(Intercept)",5.889,1.013,5.815,0
"m10a","CPUE",0.35,0.063,5.583,0
"m10a","as.factor(odd_even_factor)odd",0.363,0.148,2.446,0.022
"m10a","Icy_Strait_SST_AMJJ",-0.399,0.118,-3.38,0.002
"m11a","(Intercept)",5.27,0.649,8.116,0
"m11a","CPUE",0.334,0.056,5.945,0
"m11a","as.factor(odd_even_factor)odd",0.391,0.135,2.904,0.008
"m11a","NSEAK_SST_May",-0.378,0.087,-4.351,0
"m12a","(Intercept)",5.641,1.119,5.04,0
"m12a","CPUE",0.31,0.064,4.829,0
"m12a","as.factor(odd_even_factor)odd",0.38,0.155,2.444,0.022
"m12a","NSEAK_SST_MJJ",-0.319,0.113,-2.832,0.009
"m13a","(Intercept)",5.863,0.82,7.149,0
"m13a","CPUE",0.328,0.057,5.739,0
"m13a","as.factor(odd_even_factor)odd",0.382,0.137,2.782,0.01
"m13a","NSEAK_SST_AMJ",-0.451,0.109,-4.154,0
"m14a","(Intercept)",5.932,1.031,5.756,0
"m14a","CPUE",0.318,0.061,5.179,0
"m14a","as.factor(odd_even_factor)odd",0.378,0.148,2.55,0.017
"m14a","NSEAK_SST_AMJJ",-0.397,0.118,-3.363,0.002
"m15a","(Intercept)",5.27,0.702,7.503,0
"m15a","CPUE",0.329,0.058,5.684,0
"m15a","as.factor(odd_even_factor)odd",0.396,0.139,2.842,0.009
"m15a","SEAK_SST_May",-0.349,0.087,-4.015,0
"m16a","(Intercept)",5.531,1.118,4.948,0
"m16a","CPUE",0.3,0.065,4.631,0
"m16a","as.factor(odd_even_factor)odd",0.39,0.157,2.489,0.02
"m16a","SEAK_SST_MJJ",-0.291,0.106,-2.737,0.011
"m17a","(Intercept)",5.79,0.867,6.676,0
"m17a","CPUE",0.321,0.059,5.474,0
"m17a","as.factor(odd_even_factor)odd",0.387,0.142,2.735,0.011
"m17a","SEAK_SST_AMJ",-0.408,0.106,-3.84,0.001
"m18a","(Intercept)",5.805,1.045,5.552,0
"m18a","CPUE",0.307,0.062,4.929,0
"m18a","as.factor(odd_even_factor)odd",0.392,0.151,2.601,0.015
"m18a","SEAK_SST_AMJJ",-0.358,0.112,-3.192,0.004
