"","fit","fit_LPI","fit_UPI","se.fit","df","residual.scale","R2","AdjR2","AIC","AICc","BIC","p.value","sigma","MAPE","MAPE_LOOCV","wMAPE"
"no temperature index included",2.90283669653387,1.99563271798172,3.81004067508602,0.540685706877258,20,0.419771072480046,0.688412853982289,0.594936710176976,37.6453845780388,45.6453845780388,48.0120795060734,0.000292837163630954,0.419771072480046,0.092284956661924,0.130048452955418,0.0915252663851
"ISTI20_JJ",3.05593257391294,2.20615722596527,3.90570792186062,0.507622768474843,19,0.389804266956756,0.744746737132068,0.650706061338619,34.260968394657,44.8492036887747,45.923500188696,0.000153540730826455,0.389804266956756,0.082790832985574,0.127370577137018,0.0805520573997668
"Chatham_SST_May",3.2653158636992,2.42752559297348,4.10310613442492,0.506715858134785,19,0.37602409276141,0.762474922216495,0.674965683033098,32.3174265462245,42.9056618403421,43.9799583402635,8.15705195702951e-05,0.37602409276141,0.0764561024834428,0.1129397576025,0.091356109943531
"Chatham_SST_MJJ",3.20724513443191,2.32210966573841,4.0923806031254,0.536105588612536,19,0.396255601129011,0.7362278417,0.639048625484211,35.1473636467726,45.7355989408903,46.8098954408116,0.000204548259527589,0.396255601129011,0.0808115261142069,0.121527414646951,0.0884862579312934
"Chatham_SST_AMJ",3.29762801768997,2.47121026043578,4.12404577494416,0.500435182931016,19,0.37011299312226,0.769884014965137,0.685104441531241,31.4618034584368,42.0500387525544,43.1243352524758,6.16560025778542e-05,0.37011299312226,0.0774156312916804,0.116027568797685,0.0824739839646464
"Chatham_SST_AMJJ",3.29141774105056,2.43350252762647,4.14933295447464,0.521095675035078,19,0.38206367824901,0.75478353371603,0.664440625085094,33.177866535254,43.7661018293716,44.840398329293,0.000107993107479642,0.38206367824901,0.077984716002111,0.116931287499153,0.0821681774011424
"Icy_Strait_SST_May",3.31420594435068,2.46260361467589,4.16580827402547,0.517751469679373,19,0.378582775789821,0.759231411275956,0.670527194377624,32.6836289194438,43.2718642135614,44.3461607134827,9.19275104112634e-05,0.378582775789821,0.0762152293191103,0.112885994485838,0.0894303187893853
"Icy_Strait_SST_MJJ",3.29196856002071,2.39134833379897,4.19258878624244,0.550820240773118,19,0.395866918328308,0.736745050384258,0.639756384736352,35.0943696403989,45.6826049345166,46.7569014344379,0.000201076464939126,0.395866918328308,0.08296905436443,0.125909568302968,0.0893605143845937
"Icy_Strait_SST_AMJ",3.42029719950919,2.56406610909618,4.2765282899222,0.525183995610539,19,0.374242627840008,0.764720205189362,0.678038175522285,32.060986312627,42.6492216067446,43.7235181066659,7.50135239355467e-05,0.374242627840008,0.0769542719694967,0.115546752227489,0.0805979188490198
"Icy_Strait_SST_AMJJ",3.39630309576415,2.51153577559582,4.28107041593248,0.544131281891467,19,0.38468068938135,0.751412723594909,0.659827937550928,33.5464878277821,44.1347231218998,45.2090196218211,0.000121753713618452,0.38468068938135,0.0803197898257427,0.121591725665951,0.0825348457074325
"NSEAK_SST_May",3.29366799191915,2.45473760869043,4.13259837514787,0.508511352843601,19,0.375040910597087,0.763715401861523,0.676663181494716,32.176048990454,42.7642842845717,43.838580784493,7.78884854277963e-05,0.375040910597087,0.0758707882760439,0.112146350523586,0.0900356948609515
"NSEAK_SST_MJJ",3.2595862161326,2.37624693353063,4.14292549873457,0.537152969153859,19,0.392546158502898,0.741143194035304,0.645774897100942,34.639475889213,45.2277111833307,46.302007683252,0.000173570089096679,0.392546158502898,0.0791242422732602,0.119146657779434,0.0856551137577786
"NSEAK_SST_AMJ",3.34899869233931,2.51579281071012,4.1822045739685,0.506788912524731,19,0.370100782698363,0.769899198260108,0.685125218671727,31.460021911235,42.0482572053526,43.1225537052739,6.16200265126835e-05,0.370100782698363,0.0772948820330755,0.115436504555217,0.0811153572367762
"NSEAK_SST_AMJJ",3.35103928283412,2.48654105477954,4.2155375108887,0.528027765110738,19,0.380961945407048,0.756195725052886,0.666373097440792,33.0219252065057,43.6101605006233,44.6844570005446,0.000102645372302107,0.380961945407048,0.0779688444430353,0.116608958947317,0.0812493703103002
"SEAK_SST_May",3.14521023463812,2.31377695618225,3.97664351309399,0.49863696877471,19,0.378809882650662,0.758942456770679,0.67013178294935,32.7160131014563,43.304248395574,44.3785448954953,9.29036689275379e-05,0.378809882650662,0.0772044018581721,0.114662071346718,0.0912270003592773
"SEAK_SST_MJJ",3.14006371135517,2.27912543446814,4.0010019882422,0.517266173080497,19,0.391020022014677,0.743152042529838,0.648523847672409,34.4291261405351,45.0173614346528,46.0916579345741,0.00016214052339786,0.391020022014677,0.0786829924344445,0.118527063868011,0.0862918891675815
"SEAK_SST_AMJ",3.20665343285123,2.38283795161101,4.03046891409144,0.495690135539442,19,0.373194684406221,0.76603600778783,0.679838747499135,31.909564965105,42.4978002592227,43.572096759144,7.13895071526308e-05,0.373194684406221,0.0776862972920868,0.116501613811911,0.0836387762734875
"SEAK_SST_AMJJ",3.22465460370082,2.38010889438437,4.06920031301727,0.509657577867161,19,0.380593073755172,0.756667630173772,0.667018862343057,32.969613632797,43.5578489269146,44.6321454268359,0.000100910741787169,0.380593073755172,0.0777933614108842,0.116377539537541,0.0824867098554334
