JYear,Year,SEAKCatch,ISTI20_MJJ,CPUE,Chatham_SST_MJJ,Chatham_SST_May,Chatham_SST_AMJJ,Chatham_SST_AMJ,Icy_Strait_SST_MJJ,Icy_Strait_SST_May,Icy_Strait_SST_AMJJ,Icy_Strait_SST_AMJ,NSEAK_SST_MJJ,NSEAK_SST_May,NSEAK_SST_AMJJ,NSEAK_SST_AMJ,SEAK_SST_MJJ,SEAK_SST_May,SEAK_SST_AMJJ,SEAK_SST_AMJ,index,weight_values
1997,1998,42.448749,9.275319676,2.48,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
1998,1999,77.818105,9.397513333,5.62,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
1999,2000,20.248977,8.55974875,1.6,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2000,2001,67.023653,8.770015222,3.73,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2001,2002,45.315401,9.025532733,2.87,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2002,2003,52.466735,8.199539167,2.78,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2003,2004,45.309744,9.307691013,3.08,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2004,2005,59.121487,9.333084187,3.9,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2005,2006,11.6065,10.20637217,2.04,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2006,2007,44.796397,8.75081725,2.58,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2007,2008,15.908924,8.936006202,1.17,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2008,2009,38.024357,7.911831676,2.32,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2009,2010,24.141671,9.356666667,2.33,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2010,2011,58.882054,9.353333333,4.11,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2011,2012,21.277018,8.653333333,1.51,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2012,2013,94.719422,8.476666667,3.52,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2013,2014,37.1738647,8.834666667,2.14,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2014,2015,35.092568,9.12,3.8,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2015,2016,18.3742,9.606666667,2.45,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2016,2017,34.734774,10.1985,4.35,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2017,2018,8.0677,8.560532917,0.35,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2018,2019,21.14191,8.924952083,1.17,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2019,2020,8.062989,9.91121125,1.14,,,,,,,,,,,,,,,,,pink_cal_pool,0.001
2020,2021,48.528192,8.888253542,2.147502256,,,,,,,,,,,,,,,,,pink_cal_pool,1
2021,2022,18.299158,8.885509921,0.875454122,,,,,,,,,,,,,,,,,pink_cal_pool,1
2022,2023,47.839511,8.984388252,1.448291273,,,,,,,,,,,,,,,,,pink_cal_pool,1
2023,2024,19.86947,8.922996859,1.218385407,,,,,,,,,,,,,,,,,pink_cal_pool,1
2024,2025,,9.34,1.659201289,,,,,,,,,,,,,,,,,,1
